when	version	eval	score	total
2026-09-22 20:57 UTC	v0.27.0	ball picker v2 (34 held-out frames)	24	34
2026-09-22 20:57 UTC	v0.27.0	ball picker v1 (34 held-out frames)	18	34
2026-09-22 20:57 UTC	v0.27.0	calibration judge (28 labelled frames)	25	25
2026-09-22 20:58 UTC	v0.27.0	ball picker v2 (34 held-out frames)	24	34
2026-09-22 20:58 UTC	v0.27.0	ball picker v1 (34 held-out frames)	18	34
2026-09-22 20:58 UTC	v0.27.0	calibration judge (25 clearly labelled frames)	25	25
2026-09-22 20:58 UTC	v0.27.0	ball picker v2 (34 held-out frames)	24	34
2026-09-22 20:58 UTC	v0.27.0	ball picker v1 (34 held-out frames)	18	34
2026-09-22 20:58 UTC	v0.27.0	calibration judge (25 clearly labelled frames)	25	25
